,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,service,duration,orig_bytes,resp_bytes,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,proto_icmp,proto_tcp,proto_udp,conn_state_OTH,conn_state_REJ,conn_state_RSTO,conn_state_RSTOS0,conn_state_RSTR,conn_state_RSTRH,conn_state_S0,conn_state_S1,conn_state_S2,conn_state_S3,conn_state_SF,conn_state_SH,conn_state_SHR,label
0,1525879832.01624,CDe43c1PtgynajGI6,192.168.100.103,60905.0,131.174.215.147,23.0,-,2.998796,0,0,-,-,0.0,S,3.0,180.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,PartOfAHorizontalPortScan
1,1525879832.024985,CJaDcG3MZzvf1YVYI4,192.168.100.103,44301.0,91.42.47.63,23.0,-,0.0,0,0,-,-,0.0,S,1.0,60.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,PartOfAHorizontalPortScan
2,1525879832.044975,CMBrup3BLXivSp4Avc,192.168.100.103,50244.0,120.210.108.200,23.0,-,0.0,0,0,-,-,0.0,S,1.0,60.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,PartOfAHorizontalPortScan
3,1525879833.016171,CfHl9r3XMYtDQRrHnh,192.168.100.103,34243.0,147.7.65.203,49560.0,-,2.998804,0,0,-,-,0.0,S,3.0,180.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Benign
4,1525879833.044906,C7USrA15nFVkniMqC5,192.168.100.103,34840.0,145.164.35.6,21288.0,-,0.0,0,0,-,-,0.0,S,1.0,60.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Benign
5,1525879834.024847,CDtZ4so7bHKpIeCmi,192.168.100.103,58525.0,177.75.151.125,23.0,-,0.0,0,0,-,-,0.0,S,1.0,60.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,PartOfAHorizontalPortScan
6,1525879834.045086,Cj9lm7amKnWiNDh9c,192.168.100.103,43849.0,94.145.70.119,8080.0,-,0.0,0,0,-,-,0.0,S,1.0,60.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,PartOfAHorizontalPortScan
7,1525879836.044966,CgeVK21nm6PyVgJ4ah,192.168.100.103,40973.0,62.239.193.205,8080.0,-,0.0,0,0,-,-,0.0,S,1.0,60.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,PartOfAHorizontalPortScan
8,1525879837.005652,CFXxTW19F3sluNEkJk,192.168.100.103,52259.0,193.189.106.178,23.0,-,2.9993,0,0,-,-,0.0,S,3.0,180.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,PartOfAHorizontalPortScan
9,1525879838.006081,CRRl9U39PzvL3OiS61,192.168.100.103,42207.0,10.169.219.98,8080.0,-,2.993548,0,0,-,-,0.0,S,3.0,180.0,0.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,PartOfAHorizontalPortScan
